name,latitude,longitude,depth,well_type
SYN-WELL-0000,22.64967870866288,86.89889562578523,71.9932268017031,dug
SYN-WELL-0001,21.975767944128517,85.34078474484704,32.83562833919818,dug
SYN-WELL-0002,24.704235321257485,87.29248032758792,48.65512337881831,bore
SYN-WELL-0003,24.276977998072113,86.54276133512604,98.97684893358196,tube
SYN-WELL-0004,24.418078825192172,83.73792466767758,49.312080868157224,bore
SYN-WELL-0005,24.682551608576887,87.83664393511091,82.1254670540126,tube
SYN-WELL-0006,23.55620521438419,86.83929961425514,31.99146959970369,bore
SYN-WELL-0007,23.940594185835128,86.95519901953784,53.8368732639711,tube
SYN-WELL-0008,22.4392894934468,83.89572839194129,31.499338352682564,tube
SYN-WELL-0009,22.350855257375905,85.39429461121439,49.82900772298313,tube
SYN-WELL-0010,24.28941036626665,85.0242108126815,85.20924412372187,bore
SYN-WELL-0011,23.598836721500962,87.609457198146,8.18038730422954,dug
SYN-WELL-0012,23.92832637268416,86.29397280837509,73.03270930637572,bore
SYN-WELL-0013,24.62749600095609,87.12584150170936,67.13206806996834,bore
SYN-WELL-0014,24.171514120002065,85.36187602454709,42.175501329096164,tube
SYN-WELL-0015,23.887527902302985,84.3566600562992,16.61826436834636,bore
SYN-WELL-0016,23.907225062608948,85.87881925962363,62.16388523141609,dug
SYN-WELL-0017,23.013825343219143,83.59675024088442,44.11521872808593,dug
SYN-WELL-0018,22.05786242098779,87.1484849497655,66.98028634064111,bore
SYN-WELL-0019,23.478510862313268,86.2372394559176,60.655564365703285,dug
SYN-WELL-0020,22.701046354868353,86.82510799139699,108.05336673962746,bore
SYN-WELL-0021,23.379850253036224,84.94854575180389,52.819331175809275,tube
SYN-WELL-0022,24.936910756438582,87.8137458134363,29.29507522134405,bore
SYN-WELL-0023,22.768788200528693,87.45301321414823,65.37826904868949,dug
SYN-WELL-0024,22.15405959591173,86.919483261393,66.59990051915295,bore
SYN-WELL-0025,22.934843622076986,84.20506999151165,100.7756272572131,bore
SYN-WELL-0026,22.97757815218339,85.47025266733071,85.05333737743736,bore
SYN-WELL-0027,24.266707801544133,83.50368751091061,70.70613177448529,dug
SYN-WELL-0028,23.899612533194475,84.0174461381141,103.89908673658685,dug
SYN-WELL-0029,24.693643731872445,86.47617763257742,24.337108370314475,tube
SYN-WELL-0030,24.275097391145856,86.76314402497135,40.80745401750757,dug
SYN-WELL-0031,23.372354015040244,87.79892025581908,32.202721757834254,dug
SYN-WELL-0032,24.79907134633112,84.8150879153424,48.30570590532696,tube
SYN-WELL-0033,22.534405219676962,85.02263763306215,18.699415573310738,bore
SYN-WELL-0034,22.02949225596851,85.4834345224325,79.05452840443213,tube
SYN-WELL-0035,22.265167512714747,84.18104181974192,53.3333190870368,tube
SYN-WELL-0036,24.478257727087573,83.90413499980994,15.875811164920265,bore
SYN-WELL-0037,23.566570305879857,85.51202790695059,29.53262756377375,bore
SYN-WELL-0038,22.514451226617606,84.35512847308661,69.40541542350586,tube
SYN-WELL-0039,23.703656712861772,86.41463507527368,85.14379703683143,bore
SYN-WELL-0040,22.483092359496087,85.33275642275633,119.9019267507536,dug
SYN-WELL-0041,24.387121312772074,87.17195361166894,147.41587398021989,bore
SYN-WELL-0042,23.511546964509108,86.55623272431046,72.43228299827989,bore
SYN-WELL-0043,23.283574291337686,84.75250488242649,30.313856399044077,dug
SYN-WELL-0044,23.005292312017566,87.17000807648769,5.0,bore
SYN-WELL-0045,24.15598907591611,87.04215426236013,68.03134387031507,bore
SYN-WELL-0046,23.216344136936865,85.10177446249031,35.61176714069022,tube
SYN-WELL-0047,22.25677471760635,84.64072568327563,47.53928219460944,dug
SYN-WELL-0048,22.363020657421803,86.47360409348364,41.63709602820576,bore
SYN-WELL-0049,25.3166418259233,83.94984904878329,55.77627340750844,bore
