data_source,phase,latitude,longitude,mine,distance_from_isr_km,days_since_injection,injection_rate_gpm,ore_grade_pct,aquifer_transmissivity_m2day,aquifer_hydraulic_conductivity_mday,aquifer_porosity,aquifer_specific_yield_pct,depth_to_water_m,aquifer_thickness_m,rainfall_mm,aquifer_type,season,uranium_ppb,tds_mg_l,sulfate_mg_l,ph,iron_mg_l,arsenic_ppb,risk_class
texas_real,baseline,,,Altamesa,10.805495261010579,4.838153371008054,0.0,0.12,150.0,5.0,0.34,15.0,20.0,30.0,720.0,sandstone,pre_monsoon,34.0,896.0,47.2,8.34,0.021,60.0,unsafe
texas_real,baseline,,,Altamesa,4.822218604697508,15.031343253100907,0.0,0.12,150.0,5.0,0.34,15.0,20.0,30.0,720.0,sandstone,winter,523.0,984.0,49.0,8.02,0.05,101.0,unsafe
texas_real,baseline,,,Altamesa,14.11863131244004,4.5693630813950525,0.0,0.12,150.0,5.0,0.34,15.0,20.0,30.0,720.0,sandstone,monsoon,386.0,884.0,41.0,7.99,0.03,144.0,unsafe
texas_real,baseline,,,Benavides,15.824563855411991,20.88961125233208,0.0,0.10763716775428517,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,83.0,1211.0,69.0,8.37,2.45,4.0,unsafe
texas_real,baseline,,,Benavides,2.791568053065106,13.384688267220922,0.0,0.14567337138682143,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,monsoon,78.0,1663.0,85.0,8.1,1.2,8.0,unsafe
texas_real,baseline,,,Benavides,4.120262492974068,11.430636782894474,0.0,0.14469366221372024,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,monsoon,120.0,1356.0,85.6,8.6,0.1,37.0,unsafe
texas_real,baseline,,,Benavides,9.717504231897829,9.045362674436296,0.0,0.1385376609758535,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,post_monsoon,2000.0,1211.0,250.0,7.0,2.45,10.0,unsafe
texas_real,baseline,,,Boots/Brown,7.444526183965041,18.908477793566654,0.0,0.14234032647499445,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,monsoon,140.0,811.0,43.0,7.6,0.06,29.5,unsafe
texas_real,baseline,,,Brelum,8.909729508542672,10.854378316601712,0.0,0.13657264168162286,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,pre_monsoon,37.0,5970.8,54.14,8.46,2.0,74.0,unsafe
texas_real,baseline,,,Brelum,5.3945987460546485,2.62949757948303,0.0,0.17512481555842596,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,30.8,4349.0,67.08,8.23,5.49,13.0,unsafe
texas_real,baseline,,,Bruni,15.254329467258051,3.5401770636154595,0.0,0.12806881236185239,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,monsoon,461.0,2282.0,118.0,7.42,1.945,9.0,unsafe
texas_real,baseline,,,Bruni,14.352149739174768,28.856929936485436,0.0,0.12319087250083846,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,461.0,2282.0,118.0,,1.945,9.0,unsafe
texas_real,baseline,,,Bruni,9.363723262720816,27.25742072122821,0.0,0.11329161262339693,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,pre_monsoon,,,125.0,,,,safe
texas_real,baseline,,,Bruni,17.700082516481768,20.991214014322487,0.0,0.107111063982235,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,,,80.0,,,,safe
texas_real,baseline,,,Burns,11.914190666997714,7.9760988437855875,0.0,0.10240563285469811,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,50.0,951.0,123.0,,0.503,20.0,unsafe
texas_real,baseline,,,Burns,5.374411607267518,29.075291320431717,0.0,0.11029220137940662,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,50.0,954.0,123.0,7.7,0.53,20.0,unsafe
texas_real,baseline,,,Claywest,11.22872298618017,23.362527118973837,0.0,0.12843276447026816,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,200.0,945.0,85.0,7.9,0.006,50.0,unsafe
texas_real,baseline,,,Claywest,5.0626750865838135,21.50670567476987,0.0,0.1374125123627221,150.0,5.0,0.18,15.0,20.0,30.0,720.0,sandstone,winter,132.0,1273.0,189.0,7.79,1.89,14.0,unsafe
